date,channelGrouping,users,newUsers,percentNewSessions,sessions,bounces,bounceRate,sessionDuration,avgSessionDuration,pageviews,pageviewsPerSession
20180120,Organic Search,34228,16537,41.87006279,39496,9997,25.31142394,6575974,166.4972149,209763,5.310993518
20180120,Paid Search,1,0,0,1,1,100,0,0,1,1
20180120,Referral,108534,24224,18.4825734,131064,36961,28.20072636,2.26E+07,172.4352835,746703,5.697239517
20180120,Social,39490,9688,22.31692428,43411,9556,22.01285388,6061994,139.641888,210059,4.83884269
20180121,(Other),7,2,25,8,3,37.5,661,82.625,54,6.75
20180121,Direct,142960,51400,32.05927848,160328,43638,27.2179532,2.55E+07,159.2009069,881865,5.50038047
20180121,Organic Search,33836,15493,39.30437871,39418,9291,23.57045005,6618900,167.915673,213439,5.414759754
20180121,Paid Search,1,0,0,1,1,100,0,0,1,1
20180121,Referral,123892,37321,25.61812715,145682,38131,26.1741327,2.68E+07,184.0648742,898070,6.16459137
20180121,Social,43536,10529,21.20132093,49662,10557,21.25770207,7676874,154.5824574,241308,4.859006887
20180122,(Other),10,3,25,12,2,16.66666667,808,67.33333333,50,4.166666667
20180122,Direct,153900,61409,34.63681794,177294,50735,28.61630963,2.76E+07,155.921915,987223,5.568282063
20180122,Organic Search,35768,16685,40.06579579,41644,9844,23.63845932,7302070,175.3450677,224271,5.385433676
20180122,Paid Search,1,0,0,1,1,100,0,0,1,1
20180122,Referral,139832,44906,26.55776874,169088,44913,26.56190859,3.02E+07,178.7974132,1027403,6.076143783
20180122,Social,43537,10207,20.29103632,50303,12252,24.35640021,7359955,146.3124466,230255,4.577361191
20180123,(Other),10,0,0,12,1,8.333333333,4061,338.4166667,123,10.25
20180123,Direct,165018,58009,30.49413867,190230,49871,26.21615939,2.86E+07,150.1028597,1104883,5.808142775
20180123,Organic Search,38154,17210,37.76193088,45575,10425,22.87438289,7917392,173.72226,249432,5.473000549
20180123,Paid Search,1,0,0,1,0,0,624,624,27,27
20180123,Referral,140944,35950,21.03655504,170893,42070,24.61774327,2.98E+07,174.1645474,1076551,6.299561714
20180123,Social,52282,11656,18.97938581,61414,16123,26.25297164,9610215,156.4824796,262812,4.279349985
20180124,(Other),9,1,9.090909091,11,0,0,4547,413.3636364,135,12.27272727
20180124,Direct,164636,63872,34.25837526,186442,51224,27.47449609,2.83E+07,151.8986602,1099986,5.899883074
20180124,Organic Search,39634,18189,38.93693539,46714,10962,23.46619857,7900202,169.1185084,256242,5.485336302
20180124,Paid Search,1,0,0,3,2,66.66666667,98,32.66666667,5,1.666666667
20180124,Referral,151125,38698,20.56850677,188142,47515,25.25486069,3.49E+07,185.2835996,1195521,6.35435469
20180124,Social,64274,14702,19.22533738,76472,18575,24.28993619,1.24E+07,161.6869442,324883,4.248391568
20180125,(Other),13,0,0,15,4,26.66666667,3588,239.2,63,4.2
20180125,Direct,183754,73022,35.14914633,207749,51305,24.69566641,3.07E+07,147.6725279,1314785,6.32871879
20180125,Organic Search,38637,17115,37.34453415,45830,10026,21.87650011,7613845,166.1323369,262003,5.716844861
20180125,Paid Search,1,0,0,1,0,0,513,513,8,8
20180125,Referral,155460,42600,22.18981144,191980,42463,22.11844984,3.31E+07,172.3154287,1296251,6.752010626
20180125,Social,71364,18418,22.53434965,81733,19324,23.64283704,1.09E+07,133.7368382,365866,4.476355939
20180126,(Other),5,0,0,5,0,0,1032,206.4,22,4.4
20180126,Direct,238712,119093,45.34872209,262616,72168,27.4804277,3.75E+07,142.7433477,1769740,6.73888872
20180126,Organic Search,35006,15782,38.23344154,41278,9458,22.91293183,6937783,168.0745918,247341,5.992078105
20180126,Referral,205160,80012,33.19820923,241013,56644,23.50246667,4.13E+07,171.3975512,1821408,7.557301888
20180126,Social,72080,21109,25.32512717,83352,21432,25.71264037,1.14E+07,137.0279177,373500,4.480996257
20180127,(Other),7,0,0,8,1,12.5,2843,355.375,48,6
20180127,Direct,155591,58826,32.93286456,178624,53867,30.15664188,2.72E+07,152.4290241,1071042,5.996069957
20180127,Organic Search,35795,16314,39.2418156,41573,10507,25.27361509,7100926,170.8061963,231157,5.560267481
20180127,Paid Search,1,0,0,1,0,0,501,501,7,7
20180127,Referral,127863,30640,19.69075743,155606,43444,27.91923191,2.85E+07,183.4727324,1025314,6.589167513
20180127,Social,52240,13826,23.59868915,58588,16365,27.93234109,7921332,135.2040008,255561,4.362002458
20180128,(Other),9,2,16.66666667,12,2,16.66666667,3862,321.8333333,82,6.833333333
20180128,Direct,130587,43590,29.2503221,149024,45269,30.37698626,2.26E+07,151.4861163,803117,5.389178924
20180128,Organic Search,34444,16286,40.67229409,40042,9625,24.03726088,7019399,175.300909,224518,5.607062584
20180128,Paid Search,1,0,0,3,3,100,0,0,3,1
20180128,Referral,116578,26911,19.15496366,140491,40591,28.89224221,2.48E+07,176.7843136,838214,5.966318127
20180128,Social,44712,11361,22.15958962,51269,12601,24.57820515,7316571,142.7094541,231413,4.513702237
20180129,(Other),12,0,0,18,4,22.22222222,6922,384.5555556,152,8.444444444
20180129,Direct,177751,58529,27.90058014,209777,60017,28.6099048,3.15E+07,150.1834043,1192777,5.685928391
20180129,Organic Search,42387,18269,35.5725607,51357,12421,24.18560274,9046752,176.1542146,286351,5.575695621
20180129,Referral,159133,34274,16.93312517,202408,56332,27.83091577,3.53E+07,174.1547123,1243905,6.145532785
20180129,Social,61415,15369,21.58324907,71208,14810,20.79822492,1.02E+07,143.7514465,347753,4.883622627
20180130,(Other),11,0,0,18,3,16.66666667,5024,279.1111111,191,10.61111111
20180130,Direct,188298,65116,29.88713608,217873,56348,25.86277327,3.20E+07,146.8360742,1277727,5.864549531
20180130,Organic Search,46154,20528,37.13122909,55285,12621,22.82897712,9403163,170.0852492,312649,5.655222936
20180130,Referral,164671,37201,17.81196434,208854,50758,24.30310169,3.60E+07,172.4078447,1330728,6.371570571
20180130,Social,75146,23029,26.9404897,85481,18930,22.14527205,1.15E+07,134.9650098,412406,4.824534107
20180131,(Other),12,0,0,17,5,29.41176471,2394,140.8235294,106,6.235294118
20180131,Direct,166696,62551,33.41774451,187179,47617,25.43928539,2.73E+07,145.8076226,1191615,6.366178898
20180131,Organic Search,46209,22906,42.96432457,53314,11745,22.02986082,8698124,163.1489665,310450,5.823048355
20180131,Referral,141003,35805,21.41946985,167161,41505,24.82935613,2.82E+07,168.9926897,1111203,6.647501511
20180131,Social,63436,20369,29.09815574,70001,15496,22.13682662,8884706,126.9225582,348040,4.971928972
20180201,(Other),7,0,0,9,1,11.11111111,4300,477.7777778,53,5.888888889
20180201,Direct,143909,50932,31.65759181,160884,43714,27.17112951,2.29E+07,142.1656287,1019866,6.339138758
20180201,Organic Search,45813,23420,44.20202325,52984,12010,22.66722029,8498884,160.404726,317492,5.992224068
20180201,Referral,119493,27956,19.59129899,142696,36150,25.33357627,2.43E+07,170.460076,992764,6.957195717
20180201,Social,54412,13723,22.48971632,61019,13545,22.1980039,8034762,131.6763959,306498,5.022992838
20180202,(Other),15,1,6.25,16,3,18.75,3091,193.1875,92,5.75
20180202,Direct,247727,112778,39.58178321,284924,85375,29.96413079,3.96E+07,138.9708378,1681257,5.900720894
20180202,Organic Search,49599,22351,37.44764266,59686,13684,22.92664947,9975114,167.1265288,351018,5.88107764
20180202,Paid Search,2,1,50,2,0,0,375,187.5,8,4
20180202,Referral,214616,69795,25.81834862,270331,66902,24.74817908,4.75E+07,175.5555227,1733398,6.412131794
20180202,Social,57703,13717,20.6208659,66520,15392,23.13890559,9434948,141.8362598,329828,4.958328322
20180203,(Other),4,0,0,8,0,0,946,118.25,55,6.875
20180203,Direct,210242,89993,38.23550655,235365,81547,34.64703758,3.28E+07,139.456474,1421306,6.038731332
20180203,Organic Search,41939,18826,37.67535872,49969,12297,24.60925774,8356686,167.2374072,301436,6.032460125
20180203,Paid Search,1,0,0,1,0,0,497,497,3,3
20180203,Referral,240846,91195,31.50097237,289499,104384,36.05677394,4.70E+07,162.2464223,1774576,6.129817374
20180203,Social,55669,14279,22.96914712,62166,13780,22.16645755,8455010,136.0069813,334103,5.374368626
20180204,(Other),11,0,0,12,4,33.33333333,2372,197.6666667,74,6.166666667
